primeiro_nome;ultimo_nome;endereco;cidade;estado;pais;aqius;classificacao_aqi
MARY;SMITH;1913 Hanoi Way;Sasebo;Nagasaki;Japan;54.0;Moderado (Amarelo)
PATRICIA;JOHNSON;1121 Loja Avenue;San Bernardino;Suchitepeque;Guatemala;;Desconhecido
PATRICIA;JOHNSON;1121 Loja Avenue;San Bernardino;México;Mexico;;Desconhecido
LINDA;WILLIAMS;692 Joliet Street;Athenai;;;;Desconhecido
BARBARA;JONES;1566 Inegl Manor;Myingyan;Mandalay Region;Myanmar;;Desconhecido
ELIZABETH;BROWN;53 Idfu Parkway;Nantou;Guangdong;China;;Desconhecido
JENNIFER;DAVIS;1795 Santiago de Compostela Way;Laredo;Cantabria;Spain;;Desconhecido
MARIA;MILLER;900 Santiago de Compostela Parkway;Kragujevac;;;;Desconhecido
SUSAN;WILSON;478 Joliet Way;Hamilton;Victoria;Australia;121.0;Ruim para Grupos Sensíveis (Laranja)
SUSAN;WILSON;478 Joliet Way;Hamilton;Queensland;Australia;52.0;Moderado (Amarelo)
SUSAN;WILSON;478 Joliet Way;Hamilton;New South Wales;Australia;;Desconhecido
SUSAN;WILSON;478 Joliet Way;Hamilton;Hamilton city;Bermuda;;Desconhecido
SUSAN;WILSON;478 Joliet Way;Hamilton;Ontario;Canada;17.0;Bom (Verde)
SUSAN;WILSON;478 Joliet Way;Hamilton;Scotland;United Kingdom;;Desconhecido
MARGARET;MOORE;613 Korolev Drive;Masqat;;;;Desconhecido
DOROTHY;TAYLOR;1531 Sal Drive;Esfahan;;;;Desconhecido
LISA;ANDERSON;1542 Tarlac Parkway;Sagamihara;;;;Desconhecido
NANCY;THOMAS;808 Bhopal Manor;Yamuna Nagar;Haryana;India;;Desconhecido
KAREN;JACKSON;270 Amroha Parkway;Osmaniye;;;;Desconhecido
BETTY;WHITE;770 Bydgoszcz Avenue;Citrus Heights;;;;Desconhecido
HELEN;HARRIS;419 Iligan Lane;Bhopal;;;;Desconhecido
SANDRA;MARTIN;360 Toulouse Parkway;Southend-on-Sea;England;United Kingdom;;Desconhecido
DONNA;THOMPSON;270 Toulon Boulevard;Elista;;;;Desconhecido
CAROL;GARCIA;320 Brest Avenue;Kaduna;;;;Desconhecido
RUTH;MARTINEZ;1417 Lancaster Avenue;Kimberley;British Columbia;Canada;17.0;Bom (Verde)
RUTH;MARTINEZ;1417 Lancaster Avenue;Kimberley;England;United Kingdom;33.0;Bom (Verde)
SHARON;ROBINSON;1688 Okara Way;Mardan;;;;Desconhecido
MICHELLE;CLARK;262 A Corua (La Corua) Parkway;Tangail;;;;Desconhecido
LAURA;RODRIGUEZ;28 Charlotte Amalie Street;Sal;;;;Desconhecido
SARAH;LEWIS;1780 Hino Boulevard;Liepaja;;;;Desconhecido
KIMBERLY;LEE;96 Tafuna Way;Crdoba;;;;Desconhecido
DEBORAH;WALKER;934 San Felipe de Puerto Plata Street;Shikarpur;;;;Desconhecido
JESSICA;HALL;18 Duisburg Boulevard;Citt del Vaticano;;;;Desconhecido
SHIRLEY;ALLEN;217 Botshabelo Place;Davao;;;;Desconhecido
CYNTHIA;YOUNG;1425 Shikarpur Manor;Munger (Monghyr);;;;Desconhecido
ANGELA;HERNANDEZ;786 Aurora Avenue;Shimonoseki;Yamaguchi;Japan;56.0;Moderado (Amarelo)
MELISSA;KING;1668 Anpolis Street;Lungtan;;;;Desconhecido
