customer_id;first_name;last_name;cidade;total_alugueis;gasto_total;temperatura;idade_ficticia;faixa_etaria
1;MARY;SMITH;Sasebo;32;118.68;23.2;28;26-35
2;PATRICIA;JOHNSON;San Bernardino;27;128.73;30.4;18;18-25
4;BARBARA;JONES;Myingyan;22;81.78;31.0;31;26-35
5;ELIZABETH;BROWN;Nantou;38;144.62;31.3;22;18-25
6;JENNIFER;DAVIS;Laredo;28;93.72;34.4;31;26-35
7;MARIA;MILLER;Kragujevac;33;151.67;13.4;23;18-25
8;SUSAN;WILSON;Hamilton;24;92.76;10.5;33;26-35
12;NANCY;THOMAS;Yamuna Nagar;28;103.72;27.6;19;18-25
13;KAREN;JACKSON;Osmaniye;27;131.73;16.4;31;26-35
14;BETTY;WHITE;Citrus Heights;28;117.72;25.3;21;18-25
16;SANDRA;MARTIN;Southend-on-Sea;28;118.72;3.1;29;26-35
17;DONNA;THOMPSON;Elista;21;98.79;15.3;24;18-25
18;CAROL;GARCIA;Kaduna;22;91.78;27.6;18;18-25
19;RUTH;MARTINEZ;Kimberley;24;125.76;4.1;25;18-25
20;SHARON;ROBINSON;Mardan;30;115.7;29.3;25;18-25
25;DEBORAH;WALKER;Shikarpur;29;115.71;32.4;27;26-35
27;SHIRLEY;ALLEN;Davao;31;126.69;28.3;24;18-25
29;ANGELA;HERNANDEZ;Shimonoseki;36;140.64;20.3;30;26-35
33;ANNA;HILL;Alessandria;21;91.79;10.3;30;26-35
34;REBECCA;SCOTT;Kurashiki;24;89.76;21.4;28;26-35
35;VIRGINIA;GREEN;Toulouse;32;129.68;6.4;20;18-25
37;PAMELA;BAKER;Nanyang;23;95.77;21.8;30;26-35
38;MARTHA;GONZALEZ;Chisinau;34;127.66;10.9;27;26-35
39;DEBRA;NELSON;Vila Velha;29;141.71;23.4;22;18-25
40;AMANDA;CARTER;Nador;27;110.73;20.2;29;26-35
41;STEPHANIE;MITCHELL;Yerevan;25;118.75;17.1;33;26-35
42;CAROLYN;PEREZ;Pak Kret;30;117.7;30.3;33;26-35
43;CHRISTINE;ROBERTS;Faaa;24;99.76;30.3;21;18-25
44;MARIE;TURNER;Lipetsk;26;114.74;11.5;30;26-35
45;JANET;PHILLIPS;Antofagasta;27;127.73;14.0;34;26-35
46;CATHERINE;CAMPBELL;Moscow;34;142.66;12.2;27;26-35
47;FRANCES;PARKER;Juazeiro do Norte;22;108.78;20.9;27;26-35
50;DIANE;COLLINS;Omdurman;35;169.65;27.9;30;26-35
51;ALICE;STEWART;Fontana;33;138.67;27.8;34;26-35
53;HEATHER;MORRIS;Nagareyama;30;115.7;20.3;30;26-35
54;TERESA;ROGERS;Iwakuni;29;128.71;23.3;29;26-35
56;GLORIA;COOK;Papeete;30;135.7;30.3;18;18-25
57;EVELYN;MORGAN;Vaduz;28;114.72;9.2;30;26-35
58;JEAN;BELL;Kuching;27;115.73;30.0;33;26-35
59;CHERYL;MURPHY;Mysore;27;133.73;21.9;20;18-25
60;MILDRED;BAILEY;Jaipur;25;98.75;33.0;25;18-25
61;KATHERINE;RIVERA;Basel;14;58.86;9.4;20;18-25
62;JOAN;COOPER;Saint Louis;23;84.77;16.7;30;26-35
63;ASHLEY;RICHARDSON;Lincoln;25;112.75;17.8;20;18-25
65;ROSE;HOWARD;Cayenne;22;103.78;25.1;31;26-35
66;JANICE;WARD;Malm;34;144.66;5.2;31;26-35
67;KELLY;TORRES;Xiangtan;22;99.78;20.9;34;26-35
71;KATHY;JAMES;Baybay;30;129.7;29.5;26;26-35
72;THERESA;WATSON;Taguig;30;99.7;33.2;22;18-25
74;DENISE;KELLY;Rio Claro;27;103.73;16.4;31;26-35
76;IRENE;PRICE;Pavlodar;23;77.77;20.7;32;26-35
79;RACHEL;BARNES;Kamakura;22;84.78;20.8;21;18-25
81;ANDREA;HENDERSON;Mahajanga;22;93.78;24.3;19;18-25
82;KATHRYN;COLEMAN;Simferopol;26;130.74;12.7;22;18-25
83;LOUISE;JENKINS;Springs;25;101.75;5.2;21;18-25
84;SARA;PERRY;Springs;33;141.67;5.2;19;18-25
85;ANNE;POWELL;Bradford;23;87.77;6.1;18;18-25
86;JACQUELINE;LONG;Songkhla;33;148.67;29.3;31;26-35
87;WANDA;PATTERSON;Sincelejo;30;145.7;25.9;25;18-25
89;JULIA;FLORES;La Plata;32;134.68;9.3;21;18-25
90;RUBY;WASHINGTON;Meixian;28;110.72;29.1;20;18-25
91;LOIS;BUTLER;Bandar Seri Begawan;35;113.65;29.3;23;18-25
94;NORMA;GONZALES;Bislig;21;79.79;28.2;33;26-35
97;ANNIE;RUSSELL;Tete;18;58.82;21.2;30;26-35
101;PEGGY;MYERS;Abha;24;96.76;19.3;22;18-25
102;CRYSTAL;FORD;Ashdod;33;137.67;20.3;30;26-35
